Batch Directory Path Name                                     	Isotope	Src	Park	Mode	AR	CntLim								
========================================================	=======	===	====	====	==	======								
C:\Users\ams254\Documents\Results\USAMS061821R.txt	14C	SNICS	0	nrm	no	100								
														
Run Completion Time       	Pos	Meas	Sample Name	Num	Cycles	le12C      	le13C      	he12C      	he13C      	CntTotH	CntTotS	CntTotGT	13/12he    	14/12he    
========================	===	====	===========	===	======	===========	===========	===========	===========	=======	=======	========	===========	===========
Fri Jun 25 12:06:13 2021	22	1	LiveGas_21	S	  900.598950	-7.872175E-6	-6.802653E-8	 1.123006E-5	 1.188132E-7	9006	9006	2088	 1.057992E-2	9.922034E-13
Fri Jun 25 12:07:46 2021	22	2	LiveGas_21	S	  900.309013	-7.875478E-6	-6.419904E-8	 1.126429E-5	 1.191481E-7	9003	9003	1971	 1.057751E-2	9.340607E-13
Fri Jun 25 12:09:19 2021	22	3	LiveGas_21	S	  900.683942	-7.959457E-6	-6.709108E-8	 1.135924E-5	 1.200353E-7	9007	9007	2030	 1.056720E-2	9.535823E-13
Fri Jun 25 12:10:52 2021	22	4	LiveGas_21	S	  900.674039	-8.043351E-6	-7.007595E-8	 1.146607E-5	 1.212621E-7	9007	9007	2179	 1.057573E-2	1.014049E-12
Fri Jun 25 12:12:25 2021	22	5	LiveGas_21	S	  900.743650	-8.110943E-6	-8.252242E-8	 1.155182E-5	 1.221964E-7	9007	9007	2083	 1.057810E-2	9.621025E-13
Fri Jun 25 12:13:58 2021	22	6	LiveGas_21	S	  900.784348	-8.156241E-6	-8.117637E-8	 1.161695E-5	 1.227867E-7	9008	9008	2072	 1.056962E-2	9.516136E-13
Fri Jun 25 12:15:31 2021	22	7	LiveGas_21	S	  900.500446	-8.200860E-6	-8.135489E-8	 1.166286E-5	 1.232177E-7	9005	9005	2126	 1.056496E-2	9.728769E-13
Fri Jun 25 12:17:04 2021	22	8	LiveGas_21	S	  900.782519	-8.220573E-6	-7.956968E-8	 1.169326E-5	 1.234556E-7	9008	9008	2179	 1.055784E-2	9.942264E-13
Fri Jun 25 12:18:37 2021	22	9	LiveGas_21	S	  900.773717	-8.236536E-6	-8.780306E-8	 1.170133E-5	 1.234828E-7	9008	9008	2180	 1.055289E-2	9.940068E-13
Fri Jun 25 12:20:10 2021	22	10	LiveGas_21	S	  900.771298	-8.241120E-6	-8.200114E-8	 1.170053E-5	 1.236204E-7	9008	9008	2129	 1.056537E-2	9.708218E-13
Fri Jun 25 12:34:24 2021	23	1	C-1_8mg	B	  900.802165	-5.701622E-6	-6.134985E-8	 8.049446E-6	 8.570857E-8	9008	9008	41	 1.064776E-2	2.717517E-14
Fri Jun 25 12:35:57 2021	23	2	C-1_8mg	B	  900.820096	-5.732735E-6	-4.958890E-8	 8.139438E-6	 8.694548E-8	9008	9008	49	 1.068200E-2	3.211791E-14
Fri Jun 25 12:37:30 2021	23	3	C-1_8mg	B	  900.737431	-5.473637E-6	-5.132769E-8	 7.796180E-6	 8.352947E-8	9007	9007	43	 1.071415E-2	2.942877E-14
Fri Jun 25 12:39:03 2021	23	4	C-1_8mg	B	  900.831125	-5.305688E-6	-4.152333E-8	 7.540253E-6	 8.097612E-8	9008	9008	30	 1.073918E-2	2.122637E-14
Fri Jun 25 12:40:36 2021	23	5	C-1_8mg	B	  900.708437	-5.124493E-6	-3.709601E-8	 7.290641E-6	 7.828429E-8	9007	9007	44	 1.073764E-2	3.220227E-14
Fri Jun 25 12:42:09 2021	23	6	C-1_8mg	B	  900.764702	-4.952824E-6	-3.400760E-8	 7.052379E-6	 7.576074E-8	9008	9008	40	 1.074258E-2	3.026194E-14
Fri Jun 25 12:43:42 2021	23	7	C-1_8mg	B	  900.775531	-4.816823E-6	-3.756373E-8	 6.844916E-6	 7.349655E-8	9008	9008	35	 1.073739E-2	2.728143E-14
Fri Jun 25 12:45:15 2021	23	8	C-1_8mg	B	  900.853246	-4.685568E-6	-3.629624E-8	 6.638740E-6	 7.139543E-8	9009	9009	40	 1.075436E-2	3.214430E-14
Fri Jun 25 12:46:48 2021	23	9	C-1_8mg	B	  900.764717	-4.548421E-6	-3.928824E-8	 6.434214E-6	 6.905293E-8	9008	9008	38	 1.073215E-2	3.151088E-14
Fri Jun 25 12:48:22 2021	23	10	C-1_8mg	B	  900.836469	-4.405447E-6	-2.799502E-8	 6.241087E-6	 6.690028E-8	9008	9008	42	 1.071933E-2	3.590268E-14
Fri Jun 25 13:02:23 2021	24	1	TIRI-I_5mg	U	  900.249457	-2.910292E-6	-2.467810E-8	 4.073423E-6	 4.292756E-8	9002	9002	202	 1.053845E-2	2.647359E-13
Fri Jun 25 13:03:56 2021	24	2	TIRI-I_5mg	U	  900.659708	-2.980397E-6	-1.897257E-8	 4.196743E-6	 4.456183E-8	9007	9007	205	 1.061819E-2	2.606541E-13
Fri Jun 25 13:05:29 2021	24	3	TIRI-I_5mg	U	  900.646449	-2.836935E-6	-2.341060E-8	 3.987718E-6	 4.240201E-8	9006	9006	208	 1.063315E-2	2.783353E-13
Fri Jun 25 13:07:02 2021	24	4	TIRI-I_5mg	U	  900.685679	-2.868961E-6	-1.942959E-8	 4.023665E-6	 4.269115E-8	9007	9007	168	 1.061001E-2	2.227912E-13
Fri Jun 25 13:08:35 2021	24	5	TIRI-I_5mg	U	  900.582999	-2.700452E-6	-1.027861E-8	 3.791992E-6	 4.025818E-8	9006	9006	187	 1.061663E-2	2.631687E-13
Fri Jun 25 13:10:08 2021	24	6	TIRI-I_5mg	U	  900.508557	-2.450633E-6	-7.947128E-9	 3.457790E-6	 3.662783E-8	9005	9005	165	 1.059284E-2	2.546720E-13
Fri Jun 25 13:11:41 2021	24	7	TIRI-I_5mg	U	  900.672951	-2.410230E-6	-3.480537E-9	 3.403234E-6	 3.607055E-8	9007	9007	155	 1.059890E-2	2.430281E-13
Fri Jun 25 13:13:14 2021	24	8	TIRI-I_5mg	U	  900.447125	-2.359195E-6	-9.064668E-9	 3.310685E-6	 3.501188E-8	9004	9004	139	 1.057542E-2	2.240900E-13
Fri Jun 25 13:14:47 2021	24	9	TIRI-I_5mg	U	  900.822705	-2.280624E-6	-1.148184E-8	 3.206993E-6	 3.389364E-8	9008	9008	157	 1.056867E-2	2.611837E-13
Fri Jun 25 13:16:20 2021	24	10	TIRI-I_5mg	U	  900.819241	-2.210912E-6	-9.096802E-9	 3.113291E-6	 3.277219E-8	9008	9008	154	 1.052654E-2	2.639047E-13
Fri Jun 25 13:30:26 2021	25	1	NOSAMS2_5mg	U	  900.524830	-2.729304E-6	-1.178176E-8	 3.852228E-6	 4.123415E-8	9005	9005	658	 1.070397E-2	9.115950E-13
